idCity,name,uf,idState
1,Abadia de Goiás,GO,8
2,Abadia dos Dourados,MG,12
3,Abadiânia,GO,8
4,Abaeté,MG,12
5,Abaetetuba,PA,13
6,Abaiara,CE,5
7,Abaíra,BA,4
8,Abaré,BA,4
9,Abatiá,PR,18
10,Abdon Batista,SC,25
11,Abel Figueiredo,PA,13
12,Abelardo Luz,SC,25
13,Abre Campo,MG,12
14,Abreu e Lima,PE,16
15,Abreulândia,TO,26
16,Acaiaca,MG,12
17,Açailândia,MA,9
18,Acajutiba,BA,4
19,Acará,PA,13
20,Acarape,CE,5
21,Acaraú,CE,5
22,Acari,RN,21
23,Acauã,PI,17
24,Aceguá,RS,23
25,Acopiara,CE,5
26,Acorizal,MT,13
27,Acrelândia,AC,1
28,Acreúna,GO,8
29,Açu,RN,21
30,Açucena,MG,12
31,Adamantina,SP,26
32,Adelândia,GO,8
33,Adolfo,SP,26
34,Adrianópolis,PR,18
35,Adustina,BA,4
36,Afogados da Ingazeira,PE,16
37,Afonso Bezerra,RN,21
38,Afonso Cláudio,ES,7
39,Afonso Cunha,MA,9
40,Afrânio,PE,16
41,Afuá,PA,13
42,Agrestina,PE,16
43,Agricolândia,PI,17
44,Agrolândia,SC,25
45,Agronômica,SC,25
46,Água Azul do Norte,PA,13
47,Água Boa,MG,12
48,Água Boa,MT,13
49,Água Branca,PI,17
50,Água Branca,PB,16
51,Água Branca,AL,1
52,Água Clara,MS,13
53,Água Comprida,MG,12
54,Água Doce,SC,25
55,Água Doce do Maranhão,MA,9
56,Água Doce do Norte,ES,7
57,Água Fria,BA,4
58,Água Fria de Goiás,GO,8
59,Água Limpa,GO,8
60,Água Nova,RN,21
61,Água Preta,PE,16
62,Água Santa,RS,23
63,Aguaí,SP,26
64,Aguanil,MG,12
65,Águas Belas,PE,16
66,Águas da Prata,SP,26
67,Águas de Chapecó,SC,25
68,Águas de Lindóia,SP,26
69,Águas de Santa Bárbara,SP,26
70,Águas de São Pedro,SP,26
71,Águas Formosas,MG,12
72,Águas Frias,SC,25
73,Águas Lindas de Goiás,GO,8
74,Águas Mornas,SC,25
75,Águas Vermelhas,MG,12
76,Agudo,RS,23
77,Agudos,SP,26
78,Agudos do Sul,PR,18
79,Águia Branca,ES,7
80,Aguiar,PB,16
81,Aguiarnópolis,TO,26
82,Aimorés,MG,12
83,Aiquara,BA,4
84,Aiuaba,CE,5
85,Aiuruoca,MG,12
86,Ajuricaba,RS,23
87,Alagoa,MG,12
88,Alagoa Grande,PB,16
89,Alagoa Nova,PB,16
90,Alagoinha,PB,16
91,Alagoinha,PE,16
92,Alagoinha do Piauí,PI,17
93,Alagoinhas,BA,4
94,Alambari,SP,26
95,Albertina,MG,12
96,Alcântara,MA,9
97,Alcântaras,CE,5
98,Alcantil,PB,16
99,Alcinópolis,MS,13
100,Alcobaça,BA,4
101,Aldeias Altas,MA,9
102,Alecrim,RS,23
103,Alegre,ES,7
104,Alegrete,RS,23
105,Alegrete do Piauí,PI,17
106,Alegria,RS,23
107,Além Paraíba,MG,12
108,Alenquer,PA,13
109,Alexandria,RN,21
110,Alexânia,GO,8
111,Alfenas,MG,12
112,Alfredo Chaves,ES,7
113,Alfredo Marcondes,SP,26
114,Alfredo Vasconcelos,MG,12
115,Alfredo Wagner,SC,25
116,Algodão de Jandaíra,PB,16
117,Alhandra,PB,16
118,Aliança,PE,16
119,Aliança do Tocantins,TO,26
120,Almadina,BA,4
121,Almas,TO,26
122,Almeirim,PA,13
123,Almenara,MG,12
124,Almino Afonso,RN,21
125,Almirante Tamandaré,PR,18
126,Almirante Tamandaré do Sul,RS,23
127,Aloândia,GO,8
128,Alpercata,MG,12
129,Alpestre,RS,23
130,Alpinópolis,MG,12
131,Alta Floresta,MT,13
132,Alta Floresta D'Oeste,RO,21
133,Altair,SP,26
134,Altamira,PA,13
135,Altamira do Maranhão,MA,9
136,Altamira do Paraná,PR,18
137,Altaneira,CE,5
138,Alterosa,MG,12
139,Altinho,PE,16
140,Altinópolis,SP,26
141,Alto Alegre,RR,23
142,Alto Alegre,SP,26
143,Alto Alegre,RS,23
144,Alto Alegre do Maranhão,MA,9
